age,gender,place,wspomaganie_innowacji,ai_zastapienie_lekarzy,operacja_robot_chirurg,ingerencja_geny,dane_czujniki_spersonalizowanie,leczenie_leki_genetyczne,opiekun_robot_czlowiek,koszulka_smart,tatuaz_smart,chip,wieksza_zaplata_zabieg,stosowanie_urzadzen,udzial_zaawansowane_badanie,vr,predyspozycje_genetyczne,liczba_daVinci,przewidywanie_stan_zdrowia,swiadomosc_korzysci_ai,telemedycyna,age_bins,Gotowosc
22,2,3,Tak,Tak,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Tak,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej,"(17, 27]",0
21,1,4,Tak,Tak,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Tak,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej,"(17, 27]",1
24,2,1,Nie,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Nie,Nie,Nie,Człowiek,Nie,Nie,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Nie,Nie,2 sztuki,Tak,Nie,Jako uzupełnienie tradycyjnych form opieki medycznej,"(17, 27]",2
20,1,1,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Tak,2 sztuki,Nie,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej,"(17, 27]",2
22,1,1,Tak,Tak,Jedynie przez wykształconego chirurga,Nie,Tak,Tak,Człowiek,Tak,Nie,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Tak,około 100 sztuk,Tak,Nie,Tylko ze względu na epidemię COVID-19,"(17, 27]",2
22,1,4,Tak,Nie,Jedynie przez wykształconego chirurga,Tak,Tak,Tak,Człowiek,Tak,Nie,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Nie,Tak,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej,"(17, 27]",1
21,2,3,Nie,Tak,Jedynie przez wykształconego chirurga,Tak,Tak,Tak,Człowiek,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Tak,Tak,Tak,2 sztuki,Tak,Tak,Tylko ze względu na epidemię COVID-19,"(17, 27]",0
22,1,3,Tak,Tak,Jedynie przez wykształconego chirurga,Tak,Tak,Tak,Człowiek,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Tak,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej,"(17, 27]",0
50,2,4,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Tak,około 10 sztuk,Nie,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej,"(47, 62]",0
21,1,4,Nie,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Nie,Nie,2 sztuki,Nie,Nie,Jako uzupełnienie tradycyjnych form opieki medycznej,"(17, 27]",1
21,1,3,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Tak,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej,"(17, 27]",0
25,2,4,Tak,Nie,Jedynie przez wykształconego chirurga,Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Nie,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej,"(17, 27]",1
22,1,1,Tak,Nie,Jedynie przez wykształconego chirurga,Tak,Nie,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Tak,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej,"(17, 27]",2
21,1,1,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Nie,Nie,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej,"(17, 27]",2
22,1,2,Tak,Tak,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Tak,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej,"(17, 27]",0
30,2,4,Tak,Tak,Jedynie przez wykształconego chirurga,Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Tak,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej,"(27, 37]",0
22,1,1,Tak,Tak,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Tak,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej,"(17, 27]",0
35,2,3,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Tak,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej,"(27, 37]",0
22,2,4,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Tak,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej,"(17, 27]",1
27,2,4,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Nie,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Nie,2 sztuki,Nie,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej,"(17, 27]",1
25,1,3,Tak,Tak,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Nie,Nie,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej,"(17, 27]",0
25,2,2,Tak,Tak,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Tak,2 sztuki,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej,"(17, 27]",0
24,1,1,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Nie,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Tak,2 sztuki,Nie,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej,"(17, 27]",2
